"id","city_name","latitude","longitude","timestamp","curr_temperature"
221,Kamas,40.640216,-111.280745,"2025-01-09 05:23:48",14.0
222,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:23:48",0.7
223,Lucin,41.346238,-113.905283,"2025-01-09 05:23:49",25.5
224,Brian Head,37.692681,-112.850196,"2025-01-09 05:23:50",8.2
225,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:28:51",27.9
226,Kamas,40.640216,-111.280745,"2025-01-09 05:28:52",14.0
227,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:28:53",0.7
228,Lucin,41.346238,-113.905283,"2025-01-09 05:28:53",25.5
229,Brian Head,37.692681,-112.850196,"2025-01-09 05:28:54",8.2
230,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:33:55",27.6
231,Kamas,40.640216,-111.280745,"2025-01-09 05:33:56",14.0
232,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:33:57",0.5
233,Lucin,41.346238,-113.905283,"2025-01-09 05:33:57",25.6
234,Brian Head,37.692681,-112.850196,"2025-01-09 05:33:58",8.2
235,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:39:00",27.6
236,Kamas,40.640216,-111.280745,"2025-01-09 05:39:01",14.0
237,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:39:02",0.5
238,Lucin,41.346238,-113.905283,"2025-01-09 05:39:03",25.6
239,Brian Head,37.692681,-112.850196,"2025-01-09 05:39:03",8.2
240,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:44:05",27.6
241,Kamas,40.640216,-111.280745,"2025-01-09 05:44:06",14.0
242,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:44:07",0.5
243,Lucin,41.346238,-113.905283,"2025-01-09 05:44:08",25.6
244,Brian Head,37.692681,-112.850196,"2025-01-09 05:44:08",8.2
245,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:49:09",27.5
246,Kamas,40.640216,-111.280745,"2025-01-09 05:49:10",14.0
247,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:49:11",0.2
248,Lucin,41.346238,-113.905283,"2025-01-09 05:49:12",25.7
249,Brian Head,37.692681,-112.850196,"2025-01-09 05:49:12",8.1
250,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:54:14",27.5
251,Kamas,40.640216,-111.280745,"2025-01-09 05:54:15",14.0
252,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:54:16",0.2
253,Lucin,41.346238,-113.905283,"2025-01-09 05:54:17",25.7
254,Brian Head,37.692681,-112.850196,"2025-01-09 05:54:18",8.1
255,Salt Lake City,40.400000,-111.850500,"2025-01-09 05:59:18",27.5
256,Kamas,40.640216,-111.280745,"2025-01-09 05:59:19",14.0
257,Mirror Lake,40.701123,-110.887579,"2025-01-09 05:59:20",0.2
258,Lucin,41.346238,-113.905283,"2025-01-09 05:59:21",25.7
259,Brian Head,37.692681,-112.850196,"2025-01-09 05:59:22",8.1
260,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:04:22",27.4
261,Kamas,40.640216,-111.280745,"2025-01-09 06:04:23",14.0
262,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:04:24",0.1
263,Lucin,41.346238,-113.905283,"2025-01-09 06:04:25",25.7
264,Brian Head,37.692681,-112.850196,"2025-01-09 06:04:26",8.1
265,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:09:27",27.4
266,Kamas,40.640216,-111.280745,"2025-01-09 06:09:28",14.0
267,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:09:29",0.1
268,Lucin,41.346238,-113.905283,"2025-01-09 06:09:30",25.7
269,Brian Head,37.692681,-112.850196,"2025-01-09 06:09:30",8.1
270,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:14:31",27.4
271,Kamas,40.640216,-111.280745,"2025-01-09 06:14:32",14.0
272,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:14:33",0.1
273,Lucin,41.346238,-113.905283,"2025-01-09 06:14:34",25.7
274,Brian Head,37.692681,-112.850196,"2025-01-09 06:14:35",8.1
275,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:19:35",27.4
276,Kamas,40.640216,-111.280745,"2025-01-09 06:19:36",14.0
277,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:19:37",0.1
278,Lucin,41.346238,-113.905283,"2025-01-09 06:19:38",25.7
279,Brian Head,37.692681,-112.850196,"2025-01-09 06:19:39",8.1
280,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:24:40",27.4
281,Kamas,40.640216,-111.280745,"2025-01-09 06:24:41",14.0
282,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:24:42",0.1
283,Lucin,41.346238,-113.905283,"2025-01-09 06:24:43",25.7
284,Brian Head,37.692681,-112.850196,"2025-01-09 06:24:44",8.1
285,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:29:45",27.4
286,Kamas,40.640216,-111.280745,"2025-01-09 06:29:46",14.0
287,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:29:47",0.1
288,Lucin,41.346238,-113.905283,"2025-01-09 06:29:48",25.7
289,Brian Head,37.692681,-112.850196,"2025-01-09 06:29:49",8.1
290,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:34:49",27.4
291,Kamas,40.640216,-111.280745,"2025-01-09 06:34:50",13.8
292,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:34:51",0.2
293,Lucin,41.346238,-113.905283,"2025-01-09 06:34:52",25.6
294,Brian Head,37.692681,-112.850196,"2025-01-09 06:34:53",8.1
295,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:39:54",27.4
296,Kamas,40.640216,-111.280745,"2025-01-09 06:39:54",13.8
297,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:39:55",0.2
298,Lucin,41.346238,-113.905283,"2025-01-09 06:39:56",25.6
299,Brian Head,37.692681,-112.850196,"2025-01-09 06:39:57",8.1
300,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:44:58",27.4
301,Kamas,40.640216,-111.280745,"2025-01-09 06:44:58",13.8
302,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:44:59",0.2
303,Lucin,41.346238,-113.905283,"2025-01-09 06:45:00",25.5
304,Brian Head,37.692681,-112.850196,"2025-01-09 06:45:01",8.2
305,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:50:02",27.4
306,Kamas,40.640216,-111.280745,"2025-01-09 06:50:03",13.7
307,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:50:03",0.2
308,Lucin,41.346238,-113.905283,"2025-01-09 06:50:04",25.5
309,Brian Head,37.692681,-112.850196,"2025-01-09 06:50:05",8.2
310,Salt Lake City,40.400000,-111.850500,"2025-01-09 06:55:06",26.7
311,Kamas,40.640216,-111.280745,"2025-01-09 06:55:07",14.0
312,Mirror Lake,40.701123,-110.887579,"2025-01-09 06:55:07",1.6
313,Lucin,41.346238,-113.905283,"2025-01-09 06:55:08",24.1
314,Brian Head,37.692681,-112.850196,"2025-01-09 06:55:09",8.4
315,Salt Lake City,40.400000,-111.850500,"2025-01-09 07:00:10",26.6
316,Kamas,40.640216,-111.280745,"2025-01-09 07:00:11",13.1
317,Mirror Lake,40.701123,-110.887579,"2025-01-09 07:00:12",1.7
318,Lucin,41.346238,-113.905283,"2025-01-09 07:00:13",24.0
319,Brian Head,37.692681,-112.850196,"2025-01-09 07:00:13",8.5
320,Salt Lake City,40.400000,-111.850500,"2025-01-09 07:05:15",26.6
321,Kamas,40.640216,-111.280745,"2025-01-09 07:05:16",13.1
322,Mirror Lake,40.701123,-110.887579,"2025-01-09 07:05:16",1.7
323,Lucin,41.346238,-113.905283,"2025-01-09 07:05:17",24.0
324,Brian Head,37.692681,-112.850196,"2025-01-09 07:05:18",8.5
325,Salt Lake City,40.400000,-111.850500,"2025-01-09 07:10:19",26.6
326,Kamas,40.640216,-111.280745,"2025-01-09 07:10:20",13.1
327,Mirror Lake,40.701123,-110.887579,"2025-01-09 07:10:21",1.7
328,Lucin,41.346238,-113.905283,"2025-01-09 07:10:22",24.0
329,Brian Head,37.692681,-112.850196,"2025-01-09 07:10:23",8.5
330,Salt Lake City,40.400000,-111.850500,"2025-01-09 07:41:23",26.7
331,Kamas,40.640216,-111.280745,"2025-01-09 07:41:24",12.5
332,Mirror Lake,40.701123,-110.887579,"2025-01-09 07:41:25",1.5
333,Lucin,41.346238,-113.905283,"2025-01-09 07:41:26",24.0
334,Brian Head,37.692681,-112.850196,"2025-01-09 07:41:27",8.0
335,Salt Lake City,40.400000,-111.850500,"2025-01-09 07:49:43",26.9
336,Kamas,40.640216,-111.280745,"2025-01-09 07:49:44",12.2
337,Mirror Lake,40.701123,-110.887579,"2025-01-09 07:49:44",1.4
338,Lucin,41.346238,-113.905283,"2025-01-09 07:49:45",24.1
339,Brian Head,37.692681,-112.850196,"2025-01-09 07:49:46",7.7
340,Salt Lake City,40.400000,-111.850500,"2025-01-09 08:11:55",25.3
341,Kamas,40.640216,-111.280745,"2025-01-09 08:11:56",11.9
342,Mirror Lake,40.701123,-110.887579,"2025-01-09 08:11:57",1.7
343,Lucin,41.346238,-113.905283,"2025-01-09 08:11:58",24.7
344,Brian Head,37.692681,-112.850196,"2025-01-09 08:11:58",7.8
345,Salt Lake City,40.400000,-111.850500,"2025-01-09 08:17:00",25.7
346,Kamas,40.640216,-111.280745,"2025-01-09 08:17:00",12.1
347,Mirror Lake,40.701123,-110.887579,"2025-01-09 08:17:01",1.9
348,Lucin,41.346238,-113.905283,"2025-01-09 08:17:02",24.5
349,Brian Head,37.692681,-112.850196,"2025-01-09 08:17:03",8.2
350,Salt Lake City,40.400000,-111.850500,"2025-01-09 08:22:04",25.7
351,Kamas,40.640216,-111.280745,"2025-01-09 08:22:04",12.1
352,Mirror Lake,40.701123,-110.887579,"2025-01-09 08:22:05",1.9
353,Lucin,41.346238,-113.905283,"2025-01-09 08:22:06",24.5
354,Brian Head,37.692681,-112.850196,"2025-01-09 08:22:07",8.2
355,Salt Lake City,40.400000,-111.850500,"2025-01-09 08:27:08",25.7
356,Kamas,40.640216,-111.280745,"2025-01-09 08:27:09",12.1
357,Mirror Lake,40.701123,-110.887579,"2025-01-09 08:27:10",1.9
358,Lucin,41.346238,-113.905283,"2025-01-09 08:27:11",24.5
359,Brian Head,37.692681,-112.850196,"2025-01-09 08:27:11",8.2
360,Salt Lake City,40.400000,-111.850500,"2025-01-09 08:32:13",26.4
361,Kamas,40.640216,-111.280745,"2025-01-09 08:32:13",12.5
362,Mirror Lake,40.701123,-110.887579,"2025-01-09 08:32:14",2.1
363,Lucin,41.346238,-113.905283,"2025-01-09 08:32:15",24.7
364,Brian Head,37.692681,-112.850196,"2025-01-09 08:32:16",9.4
365,Salt Lake City,40.400000,-111.850500,"2025-01-09 08:53:44",26.7
366,Kamas,40.640216,-111.280745,"2025-01-09 08:53:45",13.3
367,Mirror Lake,40.701123,-110.887579,"2025-01-09 08:53:46",1.8
368,Lucin,41.346238,-113.905283,"2025-01-09 08:53:47",25.1
369,Brian Head,37.692681,-112.850196,"2025-01-09 08:53:48",9.8
370,Salt Lake City,40.400000,-111.850500,"2025-01-09 08:59:16",26.7
371,Kamas,40.640216,-111.280745,"2025-01-09 08:59:17",13.3
372,Mirror Lake,40.701123,-110.887579,"2025-01-09 08:59:18",1.8
373,Lucin,41.346238,-113.905283,"2025-01-09 08:59:19",25.1
